instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,event,temp_cat,atemp_cat,hum_cat,wind_cat
3014,2011-05-10,Spring,2011,May,11,Non-Holiday,Tuesday,Work,Cloudy,18.32,19.0,43.0,9.0,125,No,Cool,Cool,Optimum,Slow Wind
3015,2011-05-10,Spring,2011,May,12,Non-Holiday,Tuesday,Work,Cloudy,20.2,25.0,38.0,0.0,217,No,Warm,Warm,Optimum,Slow Wind
3016,2011-05-10,Spring,2011,May,13,Non-Holiday,Tuesday,Work,Cloudy,21.14,25.0,38.0,17.0,202,No,Warm,Warm,Optimum,Slow Wind
3017,2011-05-10,Spring,2011,May,14,Non-Holiday,Tuesday,Work,Cloudy,21.14,25.0,33.0,0.0,176,No,Warm,Warm,Optimum,Slow Wind
3018,2011-05-10,Spring,2011,May,15,Non-Holiday,Tuesday,Work,Cloudy,22.08,25.0,33.0,6.0,180,No,Warm,Warm,Optimum,Slow Wind
3019,2011-05-10,Spring,2011,May,16,Non-Holiday,Tuesday,Work,Clear,23.02,25.0,31.0,7.0,327,No,Warm,Warm,Optimum,Slow Wind
3020,2011-05-10,Spring,2011,May,17,Non-Holiday,Tuesday,Work,Clear,22.08,25.0,33.0,0.0,611,No,Warm,Warm,Optimum,Slow Wind
3021,2011-05-10,Spring,2011,May,18,Non-Holiday,Tuesday,Work,Clear,22.08,25.0,29.0,9.0,550,No,Warm,Warm,Too Dry,Slow Wind
3022,2011-05-10,Spring,2011,May,19,Non-Holiday,Tuesday,Work,Clear,20.2,25.0,43.0,15.0,434,No,Warm,Warm,Optimum,Slow Wind
3023,2011-05-10,Spring,2011,May,20,Non-Holiday,Tuesday,Work,Clear,17.38,18.0,60.0,9.0,291,No,Cool,Cool,Optimum,Slow Wind
3024,2011-05-10,Spring,2011,May,21,Non-Holiday,Tuesday,Work,Clear,17.38,18.0,52.0,0.0,203,No,Cool,Cool,Optimum,Slow Wind
3025,2011-05-10,Spring,2011,May,22,Non-Holiday,Tuesday,Work,Clear,16.44,17.0,55.0,7.0,150,No,Cool,Cool,Optimum,Slow Wind
3026,2011-05-10,Spring,2011,May,23,Non-Holiday,Tuesday,Work,Cloudy,16.44,17.0,59.0,9.0,81,No,Cool,Cool,Optimum,Slow Wind
3027,2011-05-11,Spring,2011,May,0,Non-Holiday,Wednesday,Work,Cloudy,16.44,17.0,55.0,9.0,38,No,Cool,Cool,Optimum,Slow Wind
3028,2011-05-11,Spring,2011,May,1,Non-Holiday,Wednesday,Work,Cloudy,15.5,16.0,59.0,7.0,20,No,Cool,Cool,Optimum,Slow Wind
3029,2011-05-11,Spring,2011,May,2,Non-Holiday,Wednesday,Work,Clear,16.44,17.0,59.0,0.0,10,No,Cool,Cool,Optimum,Slow Wind
3030,2011-05-11,Spring,2011,May,3,Non-Holiday,Wednesday,Work,Clear,15.5,16.0,63.0,15.0,3,No,Cool,Cool,Too Moist,Slow Wind
3031,2011-05-11,Spring,2011,May,4,Non-Holiday,Wednesday,Work,Cloudy,14.56,15.0,88.0,9.0,2,No,Cool,Cool,Too Moist,Slow Wind
3032,2011-05-11,Spring,2011,May,5,Non-Holiday,Wednesday,Work,Clear,13.62,14.0,88.0,9.0,20,No,Cool,Cool,Too Moist,Slow Wind
3033,2011-05-11,Spring,2011,May,6,Non-Holiday,Wednesday,Work,Clear,13.62,14.0,82.0,9.0,99,No,Cool,Cool,Too Moist,Slow Wind
3034,2011-05-11,Spring,2011,May,7,Non-Holiday,Wednesday,Work,Clear,14.56,15.0,72.0,13.0,318,No,Cool,Cool,Too Moist,Slow Wind
3035,2011-05-11,Spring,2011,May,8,Non-Holiday,Wednesday,Work,Clear,14.56,15.0,77.0,17.0,442,No,Cool,Cool,Too Moist,Slow Wind
3036,2011-05-11,Spring,2011,May,9,Non-Holiday,Wednesday,Work,Clear,16.44,17.0,72.0,9.0,203,No,Cool,Cool,Too Moist,Slow Wind
3037,2011-05-11,Spring,2011,May,10,Non-Holiday,Wednesday,Work,Clear,17.38,18.0,68.0,6.0,154,No,Cool,Cool,Too Moist,Slow Wind
3038,2011-05-11,Spring,2011,May,11,Non-Holiday,Wednesday,Work,Clear,18.32,19.0,64.0,6.0,141,No,Cool,Cool,Too Moist,Slow Wind
3039,2011-05-11,Spring,2011,May,12,Non-Holiday,Wednesday,Work,Clear,20.2,25.0,56.0,0.0,226,No,Warm,Warm,Optimum,Slow Wind
3040,2011-05-11,Spring,2011,May,13,Non-Holiday,Wednesday,Work,Clear,21.14,25.0,50.0,0.0,193,No,Warm,Warm,Optimum,Slow Wind
3041,2011-05-11,Spring,2011,May,14,Non-Holiday,Wednesday,Work,Clear,21.14,25.0,53.0,6.0,177,No,Warm,Warm,Optimum,Slow Wind
3042,2011-05-11,Spring,2011,May,15,Non-Holiday,Wednesday,Work,Clear,22.08,25.0,41.0,0.0,179,No,Warm,Warm,Optimum,Slow Wind
3043,2011-05-11,Spring,2011,May,16,Non-Holiday,Wednesday,Work,Clear,23.02,25.0,39.0,0.0,289,No,Warm,Warm,Optimum,Slow Wind
3044,2011-05-11,Spring,2011,May,17,Non-Holiday,Wednesday,Work,Clear,22.08,25.0,47.0,7.0,259,No,Warm,Warm,Optimum,Slow Wind
3045,2011-05-11,Spring,2011,May,18,Non-Holiday,Wednesday,Work,Clear,21.14,25.0,50.0,20.0,274,No,Warm,Warm,Optimum,Slow Wind
3046,2011-05-11,Spring,2011,May,19,Non-Holiday,Wednesday,Work,Clear,18.32,19.0,52.0,9.0,401,No,Cool,Cool,Optimum,Slow Wind
3047,2011-05-11,Spring,2011,May,20,Non-Holiday,Wednesday,Work,Clear,17.38,18.0,64.0,9.0,273,No,Cool,Cool,Too Moist,Slow Wind
3048,2011-05-11,Spring,2011,May,21,Non-Holiday,Wednesday,Work,Clear,17.38,18.0,60.0,0.0,234,No,Cool,Cool,Optimum,Slow Wind
3049,2011-05-11,Spring,2011,May,22,Non-Holiday,Wednesday,Work,Clear,15.5,16.0,72.0,17.0,146,No,Cool,Cool,Too Moist,Slow Wind
3050,2011-05-11,Spring,2011,May,23,Non-Holiday,Wednesday,Work,Clear,13.62,14.0,88.0,17.0,81,No,Cool,Cool,Too Moist,Slow Wind
3051,2011-05-12,Spring,2011,May,0,Non-Holiday,Thursday,Work,Cloudy,13.62,14.0,88.0,15.0,44,No,Cool,Cool,Too Moist,Slow Wind
3052,2011-05-12,Spring,2011,May,1,Non-Holiday,Thursday,Work,Clear,13.62,14.0,88.0,15.0,17,No,Cool,Cool,Too Moist,Slow Wind
3053,2011-05-12,Spring,2011,May,2,Non-Holiday,Thursday,Work,Clear,12.68,13.0,94.0,13.0,15,No,Cool,Cool,Too Moist,Slow Wind
3054,2011-05-12,Spring,2011,May,3,Non-Holiday,Thursday,Work,Clear,12.68,13.0,88.0,9.0,5,No,Cool,Cool,Too Moist,Slow Wind
3055,2011-05-12,Spring,2011,May,4,Non-Holiday,Thursday,Work,Clear,11.74,12.0,94.0,0.0,6,No,Cool,Cool,Too Moist,Slow Wind
3056,2011-05-12,Spring,2011,May,5,Non-Holiday,Thursday,Work,Clear,11.74,12.0,94.0,9.0,29,No,Cool,Cool,Too Moist,Slow Wind
3057,2011-05-12,Spring,2011,May,6,Non-Holiday,Thursday,Work,Clear,12.68,13.0,88.0,0.0,112,No,Cool,Cool,Too Moist,Slow Wind
3058,2011-05-12,Spring,2011,May,7,Non-Holiday,Thursday,Work,Clear,13.62,14.0,88.0,9.0,297,No,Cool,Cool,Too Moist,Slow Wind
3059,2011-05-12,Spring,2011,May,8,Non-Holiday,Thursday,Work,Clear,14.56,15.0,82.0,13.0,421,No,Cool,Cool,Too Moist,Slow Wind
3060,2011-05-12,Spring,2011,May,9,Non-Holiday,Thursday,Work,Cloudy,15.5,16.0,77.0,19.0,212,No,Cool,Cool,Too Moist,Slow Wind
3061,2011-05-12,Spring,2011,May,10,Non-Holiday,Thursday,Work,Cloudy,17.38,18.0,68.0,15.0,147,No,Cool,Cool,Too Moist,Slow Wind
3062,2011-05-12,Spring,2011,May,11,Non-Holiday,Thursday,Work,Clear,19.26,20.0,60.0,15.0,179,No,Cool,Cool,Optimum,Slow Wind
3063,2011-05-12,Spring,2011,May,12,Non-Holiday,Thursday,Work,Clear,19.26,20.0,60.0,15.0,207,No,Cool,Cool,Optimum,Slow Wind
3064,2011-05-12,Spring,2011,May,13,Non-Holiday,Thursday,Work,Cloudy,21.14,25.0,57.0,20.0,218,No,Warm,Warm,Optimum,Slow Wind
3065,2011-05-12,Spring,2011,May,14,Non-Holiday,Thursday,Work,Cloudy,21.14,24.0,61.0,15.0,191,No,Warm,Warm,Too Moist,Slow Wind
3066,2011-05-12,Spring,2011,May,15,Non-Holiday,Thursday,Work,Cloudy,22.08,25.0,53.0,17.0,217,No,Warm,Warm,Optimum,Slow Wind
3067,2011-05-12,Spring,2011,May,16,Non-Holiday,Thursday,Work,Cloudy,22.08,25.0,57.0,17.0,288,No,Warm,Warm,Optimum,Slow Wind
3068,2011-05-12,Spring,2011,May,17,Non-Holiday,Thursday,Work,Cloudy,22.08,25.0,57.0,13.0,594,No,Warm,Warm,Optimum,Slow Wind
3069,2011-05-12,Spring,2011,May,18,Non-Holiday,Thursday,Work,Clear,21.14,24.0,69.0,15.0,527,No,Warm,Warm,Too Moist,Slow Wind
3070,2011-05-12,Spring,2011,May,19,Non-Holiday,Thursday,Work,Cloudy,20.2,24.0,64.0,13.0,364,No,Warm,Warm,Too Moist,Slow Wind
3071,2011-05-12,Spring,2011,May,20,Non-Holiday,Thursday,Work,Clear,20.2,24.0,64.0,13.0,276,No,Warm,Warm,Too Moist,Slow Wind
3072,2011-05-12,Spring,2011,May,21,Non-Holiday,Thursday,Work,Clear,18.32,19.0,83.0,9.0,223,No,Cool,Cool,Too Moist,Slow Wind
3073,2011-05-12,Spring,2011,May,22,Non-Holiday,Thursday,Work,Clear,17.38,18.0,83.0,13.0,172,No,Cool,Cool,Too Moist,Slow Wind
3074,2011-05-12,Spring,2011,May,23,Non-Holiday,Thursday,Work,Cloudy,17.38,18.0,77.0,13.0,103,No,Cool,Cool,Too Moist,Slow Wind
3075,2011-05-13,Spring,2011,May,0,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,83.0,11.0,52,No,Cool,Cool,Too Moist,Slow Wind
3076,2011-05-13,Spring,2011,May,1,Non-Holiday,Friday,Work,Clear,16.44,17.0,83.0,11.0,20,No,Cool,Cool,Too Moist,Slow Wind
3077,2011-05-13,Spring,2011,May,2,Non-Holiday,Friday,Work,Cloudy,15.5,16.0,88.0,9.0,11,No,Cool,Cool,Too Moist,Slow Wind
3078,2011-05-13,Spring,2011,May,3,Non-Holiday,Friday,Work,Cloudy,15.5,16.0,88.0,9.0,4,No,Cool,Cool,Too Moist,Slow Wind
3079,2011-05-13,Spring,2011,May,4,Non-Holiday,Friday,Work,Light Rain/Snow,15.5,16.0,88.0,11.0,5,No,Cool,Cool,Too Moist,Slow Wind
3080,2011-05-13,Spring,2011,May,5,Non-Holiday,Friday,Work,Cloudy,15.5,16.0,88.0,13.0,25,No,Cool,Cool,Too Moist,Slow Wind
3081,2011-05-13,Spring,2011,May,6,Non-Holiday,Friday,Work,Light Rain/Snow,15.5,16.0,88.0,9.0,82,No,Cool,Cool,Too Moist,Slow Wind
3082,2011-05-13,Spring,2011,May,7,Non-Holiday,Friday,Work,Light Rain/Snow,15.5,16.0,88.0,11.0,157,No,Cool,Cool,Too Moist,Slow Wind
3083,2011-05-13,Spring,2011,May,8,Non-Holiday,Friday,Work,Cloudy,15.5,16.0,88.0,13.0,387,No,Cool,Cool,Too Moist,Slow Wind
3084,2011-05-13,Spring,2011,May,9,Non-Holiday,Friday,Work,Cloudy,15.5,16.0,88.0,13.0,233,No,Cool,Cool,Too Moist,Slow Wind
3085,2011-05-13,Spring,2011,May,10,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,83.0,9.0,130,No,Cool,Cool,Too Moist,Slow Wind
3086,2011-05-13,Spring,2011,May,11,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,83.0,11.0,146,No,Cool,Cool,Too Moist,Slow Wind
3087,2011-05-13,Spring,2011,May,12,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,88.0,13.0,223,No,Cool,Cool,Too Moist,Slow Wind
3088,2011-05-13,Spring,2011,May,13,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,88.0,26.0,226,No,Cool,Cool,Too Moist,Normal
3089,2011-05-13,Spring,2011,May,14,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,87.0,19.0,190,No,Cool,Cool,Too Moist,Slow Wind
3090,2011-05-13,Spring,2011,May,15,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,88.0,11.0,198,No,Cool,Cool,Too Moist,Slow Wind
3091,2011-05-13,Spring,2011,May,16,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,88.0,9.0,300,No,Cool,Cool,Too Moist,Slow Wind
3092,2011-05-13,Spring,2011,May,17,Non-Holiday,Friday,Work,Light Rain/Snow,16.44,17.0,88.0,11.0,491,No,Cool,Cool,Too Moist,Slow Wind
3093,2011-05-13,Spring,2011,May,18,Non-Holiday,Friday,Work,Light Rain/Snow,16.44,17.0,88.0,11.0,398,No,Cool,Cool,Too Moist,Slow Wind
3094,2011-05-13,Spring,2011,May,19,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,83.0,13.0,270,No,Cool,Cool,Too Moist,Slow Wind
3095,2011-05-13,Spring,2011,May,20,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,83.0,9.0,152,No,Cool,Cool,Too Moist,Slow Wind
3096,2011-05-13,Spring,2011,May,21,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,84.0,11.0,154,No,Cool,Cool,Too Moist,Slow Wind
3097,2011-05-13,Spring,2011,May,22,Non-Holiday,Friday,Work,Cloudy,16.44,17.0,83.0,15.0,132,No,Cool,Cool,Too Moist,Slow Wind
3098,2011-05-13,Spring,2011,May,23,Non-Holiday,Friday,Work,Light Rain/Snow,15.5,16.0,88.0,11.0,119,No,Cool,Cool,Too Moist,Slow Wind
3099,2011-05-14,Spring,2011,May,0,Non-Holiday,Saturday,Non-Work,Cloudy,15.5,16.0,88.0,9.0,102,No,Cool,Cool,Too Moist,Slow Wind
3100,2011-05-14,Spring,2011,May,1,Non-Holiday,Saturday,Non-Work,Cloudy,15.5,16.0,88.0,9.0,82,No,Cool,Cool,Too Moist,Slow Wind
3101,2011-05-14,Spring,2011,May,2,Non-Holiday,Saturday,Non-Work,Cloudy,15.5,16.0,88.0,9.0,52,No,Cool,Cool,Too Moist,Slow Wind
3102,2011-05-14,Spring,2011,May,3,Non-Holiday,Saturday,Non-Work,Cloudy,15.5,16.0,88.0,9.0,35,No,Cool,Cool,Too Moist,Slow Wind
3103,2011-05-14,Spring,2011,May,4,Non-Holiday,Saturday,Non-Work,Cloudy,15.5,16.0,82.0,11.0,5,No,Cool,Cool,Too Moist,Slow Wind
3104,2011-05-14,Spring,2011,May,5,Non-Holiday,Saturday,Non-Work,Cloudy,15.5,16.0,82.0,7.0,14,No,Cool,Cool,Too Moist,Slow Wind
3105,2011-05-14,Spring,2011,May,6,Non-Holiday,Saturday,Non-Work,Cloudy,15.5,16.0,88.0,7.0,11,No,Cool,Cool,Too Moist,Slow Wind
3106,2011-05-14,Spring,2011,May,7,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,14.56,15.0,100.0,0.0,32,No,Cool,Cool,Too Moist,Slow Wind
3107,2011-05-14,Spring,2011,May,8,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,15.5,16.0,94.0,0.0,88,No,Cool,Cool,Too Moist,Slow Wind
3108,2011-05-14,Spring,2011,May,9,Non-Holiday,Saturday,Non-Work,Cloudy,16.44,17.0,94.0,6.0,100,No,Cool,Cool,Too Moist,Slow Wind
3109,2011-05-14,Spring,2011,May,10,Non-Holiday,Saturday,Non-Work,Cloudy,16.44,17.0,94.0,11.0,167,No,Cool,Cool,Too Moist,Slow Wind
3110,2011-05-14,Spring,2011,May,11,Non-Holiday,Saturday,Non-Work,Cloudy,16.44,17.0,94.0,9.0,279,No,Cool,Cool,Too Moist,Slow Wind
3111,2011-05-14,Spring,2011,May,12,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,16.44,17.0,100.0,6.0,279,No,Cool,Cool,Too Moist,Slow Wind
3112,2011-05-14,Spring,2011,May,13,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,16.44,17.0,100.0,6.0,248,No,Cool,Cool,Too Moist,Slow Wind
3113,2011-05-14,Spring,2011,May,14,Non-Holiday,Saturday,Non-Work,Cloudy,17.38,18.0,94.0,9.0,216,No,Cool,Cool,Too Moist,Slow Wind
3114,2011-05-14,Spring,2011,May,15,Non-Holiday,Saturday,Non-Work,Cloudy,17.38,18.0,94.0,11.0,294,No,Cool,Cool,Too Moist,Slow Wind
3115,2011-05-14,Spring,2011,May,16,Non-Holiday,Saturday,Non-Work,Cloudy,17.38,18.0,94.0,13.0,295,No,Cool,Cool,Too Moist,Slow Wind
3116,2011-05-14,Spring,2011,May,17,Non-Holiday,Saturday,Non-Work,Cloudy,18.32,19.0,88.0,13.0,272,No,Cool,Cool,Too Moist,Slow Wind
3117,2011-05-14,Spring,2011,May,18,Non-Holiday,Saturday,Non-Work,Cloudy,18.32,19.0,88.0,15.0,304,No,Cool,Cool,Too Moist,Slow Wind
3118,2011-05-14,Spring,2011,May,19,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,17.38,18.0,94.0,9.0,248,No,Cool,Cool,Too Moist,Slow Wind
3119,2011-05-14,Spring,2011,May,20,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,17.38,18.0,94.0,9.0,157,No,Cool,Cool,Too Moist,Slow Wind
3120,2011-05-14,Spring,2011,May,21,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,17.38,18.0,94.0,15.0,59,No,Cool,Cool,Too Moist,Slow Wind
3121,2011-05-14,Spring,2011,May,22,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,17.38,18.0,94.0,11.0,26,No,Cool,Cool,Too Moist,Slow Wind
3122,2011-05-14,Spring,2011,May,23,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,16.44,17.0,100.0,13.0,44,No,Cool,Cool,Too Moist,Slow Wind
3123,2011-05-15,Spring,2011,May,0,Non-Holiday,Sunday,Non-Work,Cloudy,16.44,17.0,100.0,0.0,39,No,Cool,Cool,Too Moist,Slow Wind
3124,2011-05-15,Spring,2011,May,1,Non-Holiday,Sunday,Non-Work,Cloudy,16.44,17.0,100.0,7.0,47,No,Cool,Cool,Too Moist,Slow Wind
3125,2011-05-15,Spring,2011,May,2,Non-Holiday,Sunday,Non-Work,Cloudy,16.44,17.0,100.0,9.0,50,No,Cool,Cool,Too Moist,Slow Wind
3126,2011-05-15,Spring,2011,May,3,Non-Holiday,Sunday,Non-Work,Cloudy,16.44,17.0,100.0,0.0,32,No,Cool,Cool,Too Moist,Slow Wind
3127,2011-05-15,Spring,2011,May,4,Non-Holiday,Sunday,Non-Work,Cloudy,16.44,17.0,100.0,0.0,13,No,Cool,Cool,Too Moist,Slow Wind
3128,2011-05-15,Spring,2011,May,5,Non-Holiday,Sunday,Non-Work,Light Rain/Snow,16.44,17.0,100.0,7.0,14,No,Cool,Cool,Too Moist,Slow Wind
3129,2011-05-15,Spring,2011,May,6,Non-Holiday,Sunday,Non-Work,Cloudy,16.44,17.0,100.0,9.0,17,No,Cool,Cool,Too Moist,Slow Wind
3130,2011-05-15,Spring,2011,May,7,Non-Holiday,Sunday,Non-Work,Cloudy,16.44,17.0,100.0,9.0,42,No,Cool,Cool,Too Moist,Slow Wind
3131,2011-05-15,Spring,2011,May,8,Non-Holiday,Sunday,Non-Work,Cloudy,17.38,18.0,94.0,9.0,70,No,Cool,Cool,Too Moist,Slow Wind
3132,2011-05-15,Spring,2011,May,9,Non-Holiday,Sunday,Non-Work,Clear,19.26,20.0,83.0,17.0,134,No,Cool,Cool,Too Moist,Slow Wind
3133,2011-05-15,Spring,2011,May,10,Non-Holiday,Sunday,Non-Work,Clear,19.26,20.0,83.0,15.0,226,No,Cool,Cool,Too Moist,Slow Wind
3134,2011-05-15,Spring,2011,May,11,Non-Holiday,Sunday,Non-Work,Clear,20.2,22.0,78.0,15.0,322,No,Warm,Warm,Too Moist,Slow Wind
3135,2011-05-15,Spring,2011,May,12,Non-Holiday,Sunday,Non-Work,Clear,21.14,23.0,73.0,20.0,367,No,Warm,Warm,Too Moist,Slow Wind
3136,2011-05-15,Spring,2011,May,13,Non-Holiday,Sunday,Non-Work,Clear,21.14,23.0,73.0,19.0,456,No,Warm,Warm,Too Moist,Slow Wind
3137,2011-05-15,Spring,2011,May,14,Non-Holiday,Sunday,Non-Work,Clear,22.08,24.0,73.0,13.0,437,No,Warm,Warm,Too Moist,Slow Wind
3138,2011-05-15,Spring,2011,May,15,Non-Holiday,Sunday,Non-Work,Clear,23.02,25.0,69.0,17.0,459,No,Warm,Warm,Too Moist,Slow Wind
3139,2011-05-15,Spring,2011,May,16,Non-Holiday,Sunday,Non-Work,Clear,22.08,24.0,69.0,17.0,440,No,Warm,Warm,Too Moist,Slow Wind
3140,2011-05-15,Spring,2011,May,17,Non-Holiday,Sunday,Non-Work,Light Rain/Snow,18.32,19.0,78.0,24.0,392,No,Cool,Cool,Too Moist,Normal
3141,2011-05-15,Spring,2011,May,18,Non-Holiday,Sunday,Non-Work,Clear,18.32,19.0,78.0,17.0,237,No,Cool,Cool,Too Moist,Slow Wind
3142,2011-05-15,Spring,2011,May,19,Non-Holiday,Sunday,Non-Work,Clear,18.32,19.0,83.0,7.0,231,No,Cool,Cool,Too Moist,Slow Wind
3143,2011-05-15,Spring,2011,May,20,Non-Holiday,Sunday,Non-Work,Clear,17.38,18.0,88.0,0.0,191,No,Cool,Cool,Too Moist,Slow Wind
3144,2011-05-15,Spring,2011,May,21,Non-Holiday,Sunday,Non-Work,Clear,17.38,18.0,88.0,0.0,151,No,Cool,Cool,Too Moist,Slow Wind
3145,2011-05-15,Spring,2011,May,22,Non-Holiday,Sunday,Non-Work,Clear,18.32,19.0,83.0,0.0,117,No,Cool,Cool,Too Moist,Slow Wind
3146,2011-05-15,Spring,2011,May,23,Non-Holiday,Sunday,Non-Work,Clear,17.38,18.0,88.0,15.0,69,No,Cool,Cool,Too Moist,Slow Wind
3147,2011-05-16,Spring,2011,May,0,Non-Holiday,Monday,Work,Clear,16.44,17.0,94.0,7.0,38,No,Cool,Cool,Too Moist,Slow Wind
3148,2011-05-16,Spring,2011,May,1,Non-Holiday,Monday,Work,Clear,16.44,17.0,94.0,9.0,14,No,Cool,Cool,Too Moist,Slow Wind
3149,2011-05-16,Spring,2011,May,2,Non-Holiday,Monday,Work,Clear,15.5,16.0,100.0,6.0,13,No,Cool,Cool,Too Moist,Slow Wind
3150,2011-05-16,Spring,2011,May,3,Non-Holiday,Monday,Work,Clear,15.5,16.0,94.0,11.0,4,No,Cool,Cool,Too Moist,Slow Wind
3151,2011-05-16,Spring,2011,May,4,Non-Holiday,Monday,Work,Clear,15.5,16.0,100.0,9.0,6,No,Cool,Cool,Too Moist,Slow Wind
3152,2011-05-16,Spring,2011,May,5,Non-Holiday,Monday,Work,Clear,15.5,16.0,93.0,13.0,21,No,Cool,Cool,Too Moist,Slow Wind
3153,2011-05-16,Spring,2011,May,6,Non-Holiday,Monday,Work,Clear,16.44,17.0,88.0,11.0,104,No,Cool,Cool,Too Moist,Slow Wind
3154,2011-05-16,Spring,2011,May,7,Non-Holiday,Monday,Work,Clear,16.44,17.0,83.0,19.0,272,No,Cool,Cool,Too Moist,Slow Wind
3155,2011-05-16,Spring,2011,May,8,Non-Holiday,Monday,Work,Clear,18.32,19.0,73.0,20.0,394,No,Cool,Cool,Too Moist,Slow Wind
3156,2011-05-16,Spring,2011,May,9,Non-Holiday,Monday,Work,Clear,20.2,23.0,69.0,13.0,194,No,Warm,Warm,Too Moist,Slow Wind
3157,2011-05-16,Spring,2011,May,10,Non-Holiday,Monday,Work,Clear,21.14,24.0,65.0,6.0,112,No,Warm,Warm,Too Moist,Slow Wind
3158,2011-05-16,Spring,2011,May,11,Non-Holiday,Monday,Work,Clear,22.08,25.0,57.0,0.0,185,No,Warm,Warm,Optimum,Slow Wind
3159,2011-05-16,Spring,2011,May,12,Non-Holiday,Monday,Work,Clear,23.02,25.0,54.0,6.0,209,No,Warm,Warm,Optimum,Slow Wind
3160,2011-05-16,Spring,2011,May,13,Non-Holiday,Monday,Work,Clear,23.96,26.0,51.0,0.0,214,No,Warm,Warm,Optimum,Slow Wind
3161,2011-05-16,Spring,2011,May,14,Non-Holiday,Monday,Work,Clear,23.96,26.0,51.0,0.0,193,No,Warm,Warm,Optimum,Slow Wind
3162,2011-05-16,Spring,2011,May,15,Non-Holiday,Monday,Work,Clear,25.84,28.0,51.0,0.0,165,No,Warm,Warm,Optimum,Slow Wind
3163,2011-05-16,Spring,2011,May,16,Non-Holiday,Monday,Work,Light Rain/Snow,20.2,22.0,78.0,17.0,226,No,Warm,Warm,Too Moist,Slow Wind
3164,2011-05-16,Spring,2011,May,17,Non-Holiday,Monday,Work,Clear,19.26,20.0,88.0,15.0,274,No,Cool,Cool,Too Moist,Slow Wind
3165,2011-05-16,Spring,2011,May,18,Non-Holiday,Monday,Work,Light Rain/Snow,19.26,20.0,83.0,13.0,453,No,Cool,Cool,Too Moist,Slow Wind
3166,2011-05-16,Spring,2011,May,19,Non-Holiday,Monday,Work,Clear,19.26,20.0,83.0,17.0,308,No,Cool,Cool,Too Moist,Slow Wind
3167,2011-05-16,Spring,2011,May,20,Non-Holiday,Monday,Work,Clear,19.26,20.0,83.0,0.0,198,No,Cool,Cool,Too Moist,Slow Wind
3168,2011-05-16,Spring,2011,May,21,Non-Holiday,Monday,Work,Clear,19.26,20.0,83.0,0.0,177,No,Cool,Cool,Too Moist,Slow Wind
3169,2011-05-16,Spring,2011,May,22,Non-Holiday,Monday,Work,Clear,18.32,19.0,88.0,6.0,127,No,Cool,Cool,Too Moist,Slow Wind
3170,2011-05-16,Spring,2011,May,23,Non-Holiday,Monday,Work,Clear,18.32,19.0,88.0,6.0,57,No,Cool,Cool,Too Moist,Slow Wind
3171,2011-05-17,Spring,2011,May,0,Non-Holiday,Tuesday,Work,Cloudy,18.32,19.0,88.0,0.0,31,No,Cool,Cool,Too Moist,Slow Wind
3172,2011-05-17,Spring,2011,May,1,Non-Holiday,Tuesday,Work,Light Rain/Snow,18.32,19.0,88.0,0.0,13,No,Cool,Cool,Too Moist,Slow Wind
3173,2011-05-17,Spring,2011,May,2,Non-Holiday,Tuesday,Work,Light Rain/Snow,18.32,19.0,88.0,0.0,8,No,Cool,Cool,Too Moist,Slow Wind
3174,2011-05-17,Spring,2011,May,3,Non-Holiday,Tuesday,Work,Light Rain/Snow,17.38,18.0,94.0,17.0,4,No,Cool,Cool,Too Moist,Slow Wind
3175,2011-05-17,Spring,2011,May,4,Non-Holiday,Tuesday,Work,Light Rain/Snow,17.38,18.0,94.0,17.0,4,No,Cool,Cool,Too Moist,Slow Wind
3176,2011-05-17,Spring,2011,May,5,Non-Holiday,Tuesday,Work,Light Rain/Snow,16.44,17.0,94.0,17.0,22,No,Cool,Cool,Too Moist,Slow Wind
3177,2011-05-17,Spring,2011,May,6,Non-Holiday,Tuesday,Work,Light Rain/Snow,16.44,17.0,94.0,17.0,49,No,Cool,Cool,Too Moist,Slow Wind
3178,2011-05-17,Spring,2011,May,7,Non-Holiday,Tuesday,Work,Cloudy,16.44,17.0,94.0,17.0,151,No,Cool,Cool,Too Moist,Slow Wind
